,Question,Structure,Set,variable,value
352,Please rate the clarity of each section,Contextual information, Core set,P7,Very good
353,Please rate the clarity of each section,Main structure,Additional information,P7,Good
354,Please rate the clarity of each section,Contact type,Additional information,P7,Good
355,Please rate the clarity of each section,Physical activity,Additional information,P7,Fair
356,Please rate the clarity of each section,Ball situation,Additional information,P7,Good
357,Please rate the clarity of each section,Session detail,Additional information,P7,Good
358,Please rate the clarity of each section,Contextual information,Additional information,P7,Good
359,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P7,Easy
360,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P7,Easy
361,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P7,Easy
362,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P7,Easy
363,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P7,Neutral
364,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P7,Neutral
365,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P7,Neutral
366,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P7,Neutral
367,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P7,Neutral
368,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P7,Difficult
369,How difficult would implementing the system in research environment be?,Contact type, Core set,P7,Easy
370,How difficult would implementing the system in research environment be?,Physical activity, Core set,P7,Easy
371,How difficult would implementing the system in research environment be?,Ball situation, Core set,P7,Easy
372,How difficult would implementing the system in research environment be?,Session detail, Core set,P7,Neutral
373,How difficult would implementing the system in research environment be?,Contextual information, Core set,P7,Difficult
374,How difficult would implementing the system in research environment be?,Contact type,Additional information,P7,Neutral
375,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P7,Neutral
376,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P7,Neutral
377,How difficult would implementing the system in research environment be?,Session detail,Additional information,P7,Neutral
378,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P7,Difficult
379,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P8,Agree
380,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P8,Agree
381,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P8,
382,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P8,
383,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P8,Neither agree nor disagree
384,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P8,
385,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P8,
386,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P8,
387,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P8,
388,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P8,
389,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P8,
390,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P8,
391, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P8,Extremely
392, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P8,Extremely
393, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P8,Neutral
394, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P8,Not at all
395, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P8,
396, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P8,
397, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P8,
398, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P8,Neutral
399, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P8,Extremely
400, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P8,Extremely
401,Please rate the clarity of each section,Main structure, Core set,P8,Excellent
402,Please rate the clarity of each section,Contact type, Core set,P8,Fair
403,Please rate the clarity of each section,Physical activity, Core set,P8,Excellent
404,Please rate the clarity of each section,Ball situation, Core set,P8,Good
405,Please rate the clarity of each section,Session detail, Core set,P8,Excellent
406,Please rate the clarity of each section,Contextual information, Core set,P8,
407,Please rate the clarity of each section,Main structure,Additional information,P8,
408,Please rate the clarity of each section,Contact type,Additional information,P8,Fair
409,Please rate the clarity of each section,Physical activity,Additional information,P8,Good
410,Please rate the clarity of each section,Ball situation,Additional information,P8,Poor
411,Please rate the clarity of each section,Session detail,Additional information,P8,Very good
412,Please rate the clarity of each section,Contextual information,Additional information,P8,Very good
413,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P8,Very easy
414,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P8,Very easy
415,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P8,Easy
416,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P8,Neutral
417,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P8,
418,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P8,Very easy
419,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P8,Very easy
420,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P8,Very easy
421,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P8,Easy
422,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P8,Easy
423,How difficult would implementing the system in research environment be?,Contact type, Core set,P8,
424,How difficult would implementing the system in research environment be?,Physical activity, Core set,P8,
425,How difficult would implementing the system in research environment be?,Ball situation, Core set,P8,
426,How difficult would implementing the system in research environment be?,Session detail, Core set,P8,
427,How difficult would implementing the system in research environment be?,Contextual information, Core set,P8,
428,How difficult would implementing the system in research environment be?,Contact type,Additional information,P8,
429,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P8,
430,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P8,
431,How difficult would implementing the system in research environment be?,Session detail,Additional information,P8,
432,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P8,
433,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P9,Agree
434,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P9,Strongly agree
435,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P9,Strongly agree
436,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P9,Agree
437,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P9,Agree
438,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P9,Agree
439,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P9,Agree
440,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P9,Strongly agree
441,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P9,Strongly agree
442,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P9,Agree
443,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P9,Agree
444,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P9,Agree
445, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P9,Extremely
446, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P9,Extremely
447, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P9,Extremely
448, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P9,Moderately
449, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P9,Extremely
450, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P9,Extremely
451, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P9,Extremely
452, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P9,Extremely
453, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P9,Moderately
454, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P9,Extremely
455,Please rate the clarity of each section,Main structure, Core set,P9,Very good
456,Please rate the clarity of each section,Contact type, Core set,P9,Very good
457,Please rate the clarity of each section,Physical activity, Core set,P9,Good
458,Please rate the clarity of each section,Ball situation, Core set,P9,Good
459,Please rate the clarity of each section,Session detail, Core set,P9,Good
460,Please rate the clarity of each section,Contextual information, Core set,P9,Very good
461,Please rate the clarity of each section,Main structure,Additional information,P9,Very good
462,Please rate the clarity of each section,Contact type,Additional information,P9,Very good
463,Please rate the clarity of each section,Physical activity,Additional information,P9,Good
464,Please rate the clarity of each section,Ball situation,Additional information,P9,Good
465,Please rate the clarity of each section,Session detail,Additional information,P9,Good
466,Please rate the clarity of each section,Contextual information,Additional information,P9,Very good
467,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P9,Very easy
468,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P9,Easy
469,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P9,Neutral
470,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P9,Neutral
471,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P9,Easy
472,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P9,Very easy
473,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P9,Easy
474,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P9,Neutral
475,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P9,Neutral
476,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P9,Easy
477,How difficult would implementing the system in research environment be?,Contact type, Core set,P9,Very easy
478,How difficult would implementing the system in research environment be?,Physical activity, Core set,P9,Very easy
479,How difficult would implementing the system in research environment be?,Ball situation, Core set,P9,Easy
480,How difficult would implementing the system in research environment be?,Session detail, Core set,P9,Easy
481,How difficult would implementing the system in research environment be?,Contextual information, Core set,P9,Very easy
482,How difficult would implementing the system in research environment be?,Contact type,Additional information,P9,Very easy
483,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P9,Very easy
484,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P9,Easy
485,How difficult would implementing the system in research environment be?,Session detail,Additional information,P9,Easy
486,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P9,Very easy
487,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P10,Strongly agree
488,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P10,Strongly agree
489,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P10,Agree
490,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P10,Strongly agree
491,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P10,Agree
492,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P10,Strongly agree
493,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P10,
494,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P10,
495,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P10,
496,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P10,
497,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P10,
498,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P10,
499, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P10,Extremely
500, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P10,Moderately
501, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P10,Moderately
502, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P10,Extremely
503, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P10,Moderately
504, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P10,
505, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P10,
506, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P10,
507, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P10,
508, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P10,
509,Please rate the clarity of each section,Main structure, Core set,P10,Excellent
510,Please rate the clarity of each section,Contact type, Core set,P10,Excellent
511,Please rate the clarity of each section,Physical activity, Core set,P10,Very good
512,Please rate the clarity of each section,Ball situation, Core set,P10,Excellent
513,Please rate the clarity of each section,Session detail, Core set,P10,Very good
514,Please rate the clarity of each section,Contextual information, Core set,P10,Excellent
515,Please rate the clarity of each section,Main structure,Additional information,P10,
516,Please rate the clarity of each section,Contact type,Additional information,P10,
517,Please rate the clarity of each section,Physical activity,Additional information,P10,
518,Please rate the clarity of each section,Ball situation,Additional information,P10,
519,Please rate the clarity of each section,Session detail,Additional information,P10,
520,Please rate the clarity of each section,Contextual information,Additional information,P10,
521,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P10,Easy
522,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P10,Easy
523,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P10,Very easy
524,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P10,Very easy
525,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P10,Very easy
526,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P10,
527,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P10,
528,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P10,
529,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P10,
530,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P10,
531,How difficult would implementing the system in research environment be?,Contact type, Core set,P10,Easy
532,How difficult would implementing the system in research environment be?,Physical activity, Core set,P10,Neutral
533,How difficult would implementing the system in research environment be?,Ball situation, Core set,P10,Very easy
534,How difficult would implementing the system in research environment be?,Session detail, Core set,P10,Very easy
535,How difficult would implementing the system in research environment be?,Contextual information, Core set,P10,Very easy
536,How difficult would implementing the system in research environment be?,Contact type,Additional information,P10,
537,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P10,
538,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P10,
539,How difficult would implementing the system in research environment be?,Session detail,Additional information,P10,
540,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P10,
